name,start,end
Hadean Eon,-4600,-4000
Archean Eon,-4000,-2500
Proterozoic Eon,-2500,-541
Phanerozoic Eon,-541,0
Paleozoic Era,-541,-252
Mesozoic Era,-252,-66
Cenozoic Era,-66,0
Cambrian Period,-541,-485
Ordovician Period,-485,-443
Silurian Period,-443,-419
Devonian Period,-419,-359
Carboniferous Period,-359,-299
Permian Period,-299,-252
Triassic Period,-252,-201
Jurassic Period,-201,-145
Cretaceous Period,-145,-66
Paleogene Period,-66,-23
Neogene Period,-23,-3
Quaternary Period,-3,0
Great Oxygenation Event,-2400,-2100
Huronian Glaciation,-2400,-2100
Cryogenian Period,-720,-635
Ediacaran Period,-635,-541
Cambrian Explosion,-541,-530
Ordovician-Silurian Extinction,-445,-443
Late Devonian Extinction,-375,-360
Permian-Triassic Extinction,-252,-251
Triassic-Jurassic Extinction,-201,-199
Cretaceous-Paleogene Extinction,-66,-65
Snowball Earth,-720,-635
Boring Billion,-1800,-800
First Multicellular Life,-2100,-1600
First Eukaryotes,-2100,-1600
First Animals,-635,-541
First Land Plants,-470,-460
First Land Animals,-430,-420
First Dinosaurs,-230,-220
First Mammals,-225,-200
First Birds,-150,-140
First Flowering Plants,-130,-120
First Primates,-65,-55
First Hominids,-7,-6
Paleocene Epoch,-66,-56
Eocene Epoch,-56,-34
Oligocene Epoch,-34,-23
Miocene Epoch,-23,-5
Pliocene Epoch,-5,-2
Pleistocene Epoch,-2,-0
First Tool Use,-3,-2
