name,start,end
Eudoxus of Cnidus,-408,-355
Euclid,-325,-265
Archimedes,-287,-212
Apollonius of Perga,-262,-190
Hypatia,350,415
Diophantus,200,284
Brahmagupta,598,668
Omar Khayyam,1048,1131
Caroline Herschel,1750,1848
Maria Sibylla Merian,1647,1717
Maria Mitchell,1818,1889
Rachel Carson,1907,1964
Gerty Cori,1896,1957
Florence Nightingale,1820,1910
Mary Leakey,1913,1996
Irène Joliot-Curie,1897,1956
Florence Bascom,1862,1945
Nettie Stevens,1861,1912
Annie Jump Cannon,1863,1941
Henrietta Swan Leavitt,1868,1921
Émilie du Châtelet,1706,1749
Mary Anning,1799,1847
Jane Marcet,1769,1858
Marie Tharp,1920,2006
Margarita Salas,1938,2019
Helen Taussig,1898,1986
Mary Jackson,1921,2005
Jane Cooke Wright,1919,2013
Rita Levi-Montalcini,1909,2012
Gertrude Elion,1918,1999
Dorothy Vaughan,1910,2008
Margaret Mead,1901,1978
May-Britt Moser,1963,2025
Shirley Ann Jackson,1946,2025
Elizabeth Blackburn,1948,2025
Mae Jemison,1956,2025
Tu Youyou,1930,2025
Hildegard of Bingen,1098,1179
Sofia Kovalevskaya,1850,1891
Mary Cartwright,1900,1998
Wangari Maathai,1940,2011
Ada Yonath,1939,2025
Leonardo Fibonacci,1170,1250
Nasir al-Din al-Tusi,1201,1274
Al-Kashi,1380,1440
Regiomontanus,1436,1476
Niccolò Tartaglia,1499,1557
Gerolamo Cardano,1501,1576
François Viète,1540,1603
Simon Stevin,1548,1620
John Napier,1550,1617
Girard Desargues,1591,1661
Pierre de Fermat,1607,1665
René Descartes,1596,1650
Blaise Pascal,1623,1662
Evangelista Torricelli,1608,1647
Gottfried Wilhelm Leibniz,1646,1716
Jakob Bernoulli,1655,1705
John Wallis,1616,1703
Brook Taylor,1685,1731
Leonhard Euler,1707,1783
Jean le Rond d'Alembert,1717,1783
Joseph-Louis Lagrange,1736,1813
Pierre-Simon Laplace,1749,1827
Adrien-Marie Legendre,1752,1833
Carl Friedrich Gauss,1777,1855
Augustin-Louis Cauchy,1789,1857
Niels Henrik Abel,1802,1829
Siméon Denis Poisson,1781,1840
George Boole,1815,1864
Bernhard Riemann,1826,1866
William Rowan Hamilton,1805,1865
J. J. Sylvester,1814,1897
Hermann Grassmann,1809,1877
Arthur Cayley,1821,1895
Pafnuty Chebyshev,1821,1894
Karl Weierstrass,1815,1897
Henri Poincaré,1854,1912
Georg Cantor,1845,1918
Felix Klein,1849,1925
Emmy Noether,1882,1935
Srinivasa Ramanujan,1887,1920
G. H. Hardy,1877,1947
David Hilbert,1862,1943
L. E. J. Brouwer,1881,1966
Norbert Wiener,1894,1964
André Weil,1906,1998
John von Neumann,1903,1957
Alan Turing,1912,1954
Paul Erdős,1913,1996
Alexander Grothendieck,1928,2014
Kurt Gödel,1906,1978
Andrey Kolmogorov,1903,1987
Benoit Mandelbrot,1924,2010
Terence Tao,1975,2025
Grigori Perelman,1966,2025
Andrew Wiles,1953,2025
Peter Scholze,1987,2025
Ingrid Daubechies,1954,2025
Maryam Mirzakhani,1977,2017
John Nash,1928,2015
Irving Kaplansky,1917,2006
Shiing-Shen Chern,1911,2004
Jean-Pierre Serre,1926,2025
Michael Atiyah,1929,2019
Raoul Bott,1923,2005
Simon Donaldson,1957,2025
John Milnor,1931,2025
Vladimir Arnold,1937,2010
Andrei Okounkov,1969,2025
Persi Diaconis,1945,2025
Alexander Beilinson,1947,2025
Alexander Kontorovich,1980,2025
Peter Sarnak,1953,2025
Stanislaw Ulam,1909,1984
Évariste Galois,1811,1832
Joseph Fourier,1768,1830
Sophie Germain,1776,1831
Mary Somerville,1780,1872
Ada Lovelace,1815,1852
Grace Chisholm Young,1868,1944
Galileo Galilei,1564,1642
Johannes Kepler,1571,1630
Tycho Brahe,1546,1601
Christiaan Huygens,1629,1695
Robert Hooke,1635,1703
Giovanni Battista Riccioli,1598,1671
Robert Boyle,1627,1691
James Clerk Maxwell,1831,1879
Ludwig Boltzmann,1844,1906
Heinrich Hertz,1857,1894
Marie Curie,1867,1934
Henri Becquerel,1852,1908
Pierre Curie,1859,1906
Ernest Rutherford,1871,1937
Niels Bohr,1885,1962
Max Planck,1858,1947
Albert Einstein,1879,1955
Satyendra Nath Bose,1894,1974
Enrico Fermi,1901,1954
Wolfgang Pauli,1900,1958
Erwin Schrödinger,1887,1961
Paul Dirac,1902,1984
Richard Feynman,1918,1988
Julian Schwinger,1918,1994
Lev Landau,1908,1968
Hideki Yukawa,1907,1981
Chen Ning Yang,1922,2025
Tsung-Dao Lee,1926,2025
Murray Gell-Mann,1929,2019
Abdus Salam,1926,1996
Steven Weinberg,1933,2025
Sheldon Glashow,1932,2025
Kip Thorne,1940,2025
Roger Penrose,1931,2025
Freeman Dyson,1923,2020
Stephen Hawking,1942,2018
John Wheeler,1911,2008
Carlo Rubbia,1934,2025
Frank Wilczek,1951,2025
Gerard 't Hooft,1946,2025
Edward Witten,1951,2025
Lisa Randall,1962,2025
