name,start,end
Philip II of Macedon,-382,-336
Alexander the Great,-356,-323
Aristoteles,-384,-322
Plato,-428,-348
Socrates,-470,-399
Macedonia,-808,-168
Marcus Aurelius,121,180
First Hieroglyphs,-4000,-3900
Indus Valley Civ,-3300,-1300
Nero,54,68
Claudius,41,54
Caligula,37,41
Tiberius,14,37
Augustus,-27,14
Jesus,-4,30
Muhammad,570,632
Epic of Gilgamesh,-2100,-1800
Pyramid Texts,-2400,-2300
Hammurabi,-1792,-1750
Ramses II,-1279,-1213
Tutankhamun,-1332,-1323
Cleopatra,-69,-30
Julius Caesar,-100,-44
Constantine,272,337
Charlemagne,742,814
Genghis Khan,1162,1227
Marco Polo,1254,1324
Leonardo da Vinci,1452,1519
Michelangelo,1475,1564
Galileo,1564,1642
Isaac Newton,1642,1727
Napoleon,1769,1821
Beethoven,1770,1827
Mozart,1756,1791
Shakespeare,1564,1616
Christopher Columbus,1451,1506
Martin Luther,1483,1546
Copernicus,1473,1543
Gutenberg,1398,1468
Magna Carta,1215,1215
Black Death,1347,1351
Hundred Years War,1337,1453
Crusades,1096,1291
Viking Age,793,1066
Byzantine Empire,330,1453
Ottoman Empire,1299,1922
Ming Dynasty,1368,1644
Mongol Empire,1206,1368
Roman Republic,-509,-27
Roman Empire,-27,476
Han Dynasty,-206,220 
